ID,COUNTRY,CONTINENT
ZAF,South Africa,Africa
SDN,Sudan,Africa
TWN,Taiwan,Asia
TGO,Togo,Africa
SAU,Saudi Arabia,Asia
CZE,Czechia,Europe
EGY,Egypt,Africa
IRN,Iran,Asia
KAZ,Kazakhstan,Asia
LUX,Luxembourg,Europe
MYS,Malaysia,Asia
JAM,Jamaica,Americas
MLI,Mali,Africa
NIC,Nicaragua,Americas
PRK,North Korea,Asia
NOR,Norway,Europe
PAN,Panama,Americas
PER,Peru,Americas
PHL,Philippines,Asia
QAT,Qatar,Asia
LCA,Saint Lucia,Americas
SEN,Senegal,Africa
KOR,South Korea,Asia
ESP,Spain,Europe
SUR,Suriname,Americas
TJK,Tajikistan,Asia
THA,Thailand,Asia
TUN,Tunisia,Africa
TUV,Tuvalu,Oceania
UGA,Uganda,Africa
UKR,Ukraine,Europe
USA,United States,Americas
VUT,Vanuatu,Oceania
VNM,Vietnam,Asia
WSM,Samoa,Oceania
TTO,Trinidad and Tobago,Americas
ZMB,Zambia,Africa
PAK,Pakistan,Asia
LKA,Sri Lanka,Asia
NPL,Nepal,Asia
PNG,Papua New Guinea,Oceania
SVN,Slovenia,Europe
NZL,New Zealand,Oceania
SGP,Singapore,Asia
