country,year,value
St. Vincent and the Grenadines,1801,25.8k
Venezuela,1801,978k
Vietnam,1801,4.1M
Vanuatu,1801,27.8k
Samoa,1801,47.3k
Yemen,1801,2.59M
South Africa,1801,1.45M
Zambia,1801,758k
Zimbabwe,1801,1.09M
Afghanistan,1802,3.28M
Angola,1802,1.57M
Albania,1802,404k
Andorra,1802,2650
UAE,1802,40.2k
Argentina,1802,506k
Armenia,1802,413k
Antigua and Barbuda,1802,37k
Australia,1802,211k
Austria,1802,3.04M
Azerbaijan,1802,880k
Burundi,1802,899k
Belgium,1802,3.27M
Benin,1802,637k
Burkina Faso,1802,1.67M
Bangladesh,1802,19.3M
Bulgaria,1802,2.24M
Bahrain,1802,64.5k
Bahamas,1802,27.4k
Bosnia and Herzegovina,1802,852k
Belarus,1802,2.36M
Belize,1802,25.5k
Bolivia,1802,906k
Brazil,1802,2.65M
Barbados,1802,81.7k
Brunei,1802,2260
Bhutan,1802,392k
Botswana,1802,120k
Central African Republic,1802,479k
Canada,1802,525k
Switzerland,1802,1.77M
Chile,1802,771k
China,1802,333M
Cote d'Ivoire,1802,1.09M
Cameroon,1802,1.86M
"Congo, Dem. Rep.",1802,5.16M
"Congo, Rep.",1802,314k
Colombia,1802,1.21M
Comoros,1802,56.3k
Cape Verde,1802,55.7k
Costa Rica,1802,53.9k
Cuba,1802,316k
Cyprus,1802,184k
Czech Republic,1802,5.52M
Germany,1802,18.6M
Djibouti,1802,22.8k
Dominica,1802,19.9k
Denmark,1802,1.01M
Dominican Republic,1802,142k
Algeria,1802,2.52M
Ecuador,1802,500k
Egypt,1802,3.56M
Eritrea,1802,205k
Spain,1802,11.6M
Estonia,1802,334k
Ethiopia,1802,12M
Finland,1802,831k
Fiji,1802,131k
France,1802,29.2M
"Micronesia, Fed. Sts.",1802,16.4k
Gabon,1802,158k
UK,1802,11M
Georgia,1802,1.07M
Ghana,1802,2.02M
Guinea,1802,984k
Gambia,1802,103k
Guinea-Bissau,1802,218k
Equatorial Guinea,1802,80.4k
Greece,1802,2.26M
Grenada,1802,29.4k
Guatemala,1802,475k
Guyana,1802,166k
"Hong Kong, China",1802,20k
Honduras,1802,130k
Holy See,1802,905
Croatia,1802,1.23M
Haiti,1802,519k
Hungary,1802,3.33M
Indonesia,1802,16.2M
India,1802,202M
Ireland,1802,5.41M
Iran,1802,6.05M
Iraq,1802,1.01M
Iceland,1802,61.4k
Israel,1802,210k
Italy,1802,19.1M
Jamaica,1802,309k
Jordan,1802,202k
Japan,1802,28.3M
Kazakhstan,1802,2.04M
Kenya,1802,2.6M
Kyrgyz Republic,1802,530k
Cambodia,1802,2.09M
Kiribati,1802,17.9k
St. Kitts and Nevis,1802,17.2k
South Korea,1802,9.39M
Kuwait,1802,81.3k
Lao,1802,470k
Lebanon,1802,303k
Liberia,1802,314k
Libya,1802,230k
St. Lucia,1802,24k
Liechtenstein,1802,5800
Sri Lanka,1802,1.69M
Lesotho,1802,276k
Lithuania,1802,779k
Luxembourg,1802,127k
Latvia,1802,591k
Morocco,1802,2.52M
Monaco,1802,7790
Moldova,1802,713k
Madagascar,1802,1.52M
Maldives,1802,42.4k
Mexico,1802,5.23M
Marshall Islands,1802,5830
North Macedonia,1802,392k
Mali,1802,1.4M
Malta,1802,134k
Myanmar,1802,5.69M
Montenegro,1802,127k
Mongolia,1802,602k
Mozambique,1802,2.01M
Mauritania,1802,383k
Mauritius,1802,62.4k
Malawi,1802,769k
Malaysia,1802,287k
Namibia,1802,223k
Niger,1802,853k
Nigeria,1802,12.1M
Nicaragua,1802,186k
Netherlands,1802,2.01M
Norway,1802,897k
Nepal,1802,3.99M
Nauru,1802,1830
New Zealand,1802,187k
Oman,1802,302k
Pakistan,1802,13.2M
Panama,1802,76.7k
Peru,1802,1.28M
Philippines,1802,2.37M
Palau,1802,3880
Papua New Guinea,1802,755k
Poland,1802,9.13M
North Korea,1802,4.34M
Portugal,1802,2.8M
Paraguay,1802,279k
Palestine,1802,166k
Qatar,1802,14.1k
Romania,1802,5.58M
Russia,1802,31.3M
Rwanda,1802,928k
Saudi Arabia,1802,2.01M
Sudan,1802,4M
Senegal,1802,1.01M
Singapore,1802,30k
Solomon Islands,1802,57k
Sierra Leone,1802,794k
El Salvador,1802,229k
San Marino,1802,5490
Somalia,1802,990k
Serbia,1802,2.15M
South Sudan,1802,1.03M
Sao Tome and Principe,1802,22.7k
Suriname,1802,80.7k
Slovak Republic,1802,2.14M
Slovenia,1802,470k
Sweden,1802,2.48M
Eswatini,1802,85.1k
Seychelles,1802,12.5k
Syria,1802,1.26M
Chad,1802,1.44M
Togo,1802,446k
Thailand,1802,3.14M
Tajikistan,1802,467k
Turkmenistan,1802,367k
Timor-Leste,1802,137k
Tonga,1802,18.6k
Trinidad and Tobago,1802,22.3k
Tunisia,1802,807k
Turkey,1802,9.79M
Tuvalu,1802,2500
Taiwan,1802,2M
Tanzania,1802,3M
Uganda,1802,2.46M
Ukraine,1802,11.2M
Uruguay,1802,55k
USA,1802,6.23M
Uzbekistan,1802,1.92M
St. Vincent and the Grenadines,1802,25.8k
Venezuela,1802,957k
Vietnam,1802,4.2M
Vanuatu,1802,27.8k
Samoa,1802,47.3k
Yemen,1802,2.59M
South Africa,1802,1.46M
Zambia,1802,770k
Zimbabwe,1802,1.09M
Afghanistan,1803,3.28M
Angola,1803,1.57M
Albania,1803,405k
Andorra,1803,2650
UAE,1803,40.2k
Argentina,1803,492k
Armenia,1803,413k
Antigua and Barbuda,1803,37k
Australia,1803,216k
Austria,1803,3.05M
Azerbaijan,1803,880k
Burundi,1803,899k
Belgium,1803,3.28M
Benin,1803,637k
Burkina Faso,1803,1.67M
Bangladesh,1803,19.3M
Bulgaria,1803,2.24M
Bahrain,1803,64.5k
Bahamas,1803,27.4k
Bosnia and Herzegovina,1803,852k
Belarus,1803,2.36M
Belize,1803,25.5k
Bolivia,1803,916k
Brazil,1803,2.73M
Barbados,1803,81.7k
Brunei,1803,2260
Bhutan,1803,392k
Botswana,1803,120k
Central African Republic,1803,479k
Canada,1803,538k
Switzerland,1803,1.78M
Chile,1803,771k
China,1803,335M
Cote d'Ivoire,1803,1.09M
Cameroon,1803,1.86M
"Congo, Dem. Rep.",1803,5.16M
"Congo, Rep.",1803,314k
Colombia,1803,1.21M
Comoros,1803,56.3k
Cape Verde,1803,55.7k
Costa Rica,1803,54.4k
Cuba,1803,340k
Cyprus,1803,184k
Czech Republic,1803,5.52M
Germany,1803,18.9M
Djibouti,1803,22.8k
Dominica,1803,19.9k
Denmark,1803,1.02M
Dominican Republic,1803,139k
Algeria,1803,2.53M
Ecuador,1803,500k
Egypt,1803,3.6M
Eritrea,1803,205k
Spain,1803,11.6M
Estonia,1803,334k
Ethiopia,1803,12M
Finland,1803,847k
Fiji,1803,131k
France,1803,29.3M
"Micronesia, Fed. Sts.",1803,16.4k
Gabon,1803,158k
UK,1803,11.1M
Georgia,1803,1.07M
Ghana,1803,2.02M
Guinea,1803,984k
Gambia,1803,103k
Guinea-Bissau,1803,218k
Equatorial Guinea,1803,80.4k
Greece,1803,2.26M
Grenada,1803,29.4k
Guatemala,1803,481k
Guyana,1803,166k
"Hong Kong, China",1803,20k
Honduras,1803,131k
Holy See,1803,905
Croatia,1803,1.23M
Haiti,1803,528k
Hungary,1803,3.37M
Indonesia,1803,16.2M
India,1803,202M
Ireland,1803,5.49M
Iran,1803,6.08M
Iraq,1803,1.01M
Iceland,1803,61.4k
Israel,1803,210k
Italy,1803,19.2M
Jamaica,1803,313k
Jordan,1803,202k
Japan,1803,28.4M
Kazakhstan,1803,2.04M
Kenya,1803,2.62M
Kyrgyz Republic,1803,530k
Cambodia,1803,2.09M
Kiribati,1803,17.9k
St. Kitts and Nevis,1803,17.2k
South Korea,1803,9.39M
Kuwait,1803,81.3k
Lao,1803,470k
Lebanon,1803,305k
Liberia,1803,314k
Libya,1803,230k
St. Lucia,1803,24k
Liechtenstein,1803,5800
Sri Lanka,1803,1.66M
Lesotho,1803,276k
Lithuania,1803,779k
Luxembourg,1803,127k
Latvia,1803,591k
Morocco,1803,2.53M
Monaco,1803,7790
Moldova,1803,713k
Madagascar,1803,1.53M
Maldives,1803,42.4k
Mexico,1803,5.3M
Marshall Islands,1803,5830
North Macedonia,1803,392k
Mali,1803,1.4M
Malta,1803,134k
Myanmar,1803,5.54M
Montenegro,1803,127k
Mongolia,1803,603k
Mozambique,1803,2.01M
Mauritania,1803,383k
Mauritius,1803,64.2k
Malawi,1803,786k
Malaysia,1803,287k
Namibia,1803,220k
Niger,1803,853k
Nigeria,1803,12.1M
Nicaragua,1803,186k
Netherlands,1803,2.01M
Norway,1803,895k
Nepal,1803,3.98M
Nauru,1803,1830
New Zealand,1803,180k
Oman,1803,303k
Pakistan,1803,13.2M
Panama,1803,77.3k
Peru,1803,1.28M
Philippines,1803,2.31M
Palau,1803,3880
Papua New Guinea,1803,755k
Poland,1803,9.2M
North Korea,1803,4.34M
Portugal,1803,2.83M
Paraguay,1803,268k
Palestine,1803,166k
Qatar,1803,14.1k
Romania,1803,5.63M
Russia,1803,31.3M
Rwanda,1803,928k
Saudi Arabia,1803,2.01M
Sudan,1803,4.01M
Senegal,1803,1.01M
Singapore,1803,30k
Solomon Islands,1803,57k
Sierra Leone,1803,794k
El Salvador,1803,219k
San Marino,1803,5490
Somalia,1803,990k
Serbia,1803,2.15M
South Sudan,1803,1.03M
Sao Tome and Principe,1803,22.7k
Suriname,1803,80.7k
Slovak Republic,1803,2.14M
Slovenia,1803,470k
Sweden,1803,2.47M
Eswatini,1803,84.7k
Seychelles,1803,12.5k
Syria,1803,1.26M
Chad,1803,1.45M
Togo,1803,446k
Thailand,1803,3.21M
Tajikistan,1803,467k
Turkmenistan,1803,367k
Timor-Leste,1803,137k
Tonga,1803,18.6k
Trinidad and Tobago,1803,23.6k
Tunisia,1803,811k
Turkey,1803,9.81M
Tuvalu,1803,2500
Taiwan,1803,2M
Tanzania,1803,3M
Uganda,1803,2.44M
Ukraine,1803,11.2M
Uruguay,1803,55k
USA,1803,6.35M
Uzbekistan,1803,1.92M
St. Vincent and the Grenadines,1803,25.8k
Venezuela,1803,936k
Vietnam,1803,4.31M
Vanuatu,1803,27.8k
Samoa,1803,47.3k
Yemen,1803,2.59M
South Africa,1803,1.46M
Zambia,1803,782k
Zimbabwe,1803,1.09M
Afghanistan,1804,3.28M
Angola,1804,1.57M
Albania,1804,407k
Andorra,1804,2650
UAE,1804,40.2k
Argentina,1804,479k
Armenia,1804,413k
Antigua and Barbuda,1804,37k
Australia,1804,222k
Austria,1804,3.07M
Azerbaijan,1804,880k
Burundi,1804,899k
Belgium,1804,3.29M
Benin,1804,637k
Burkina Faso,1804,1.67M
Bangladesh,1804,19.3M
Bulgaria,1804,2.24M
Bahrain,1804,64.5k
Bahamas,1804,27.4k
Bosnia and Herzegovina,1804,852k
Belarus,1804,2.36M
Belize,1804,25.5k
Bolivia,1804,926k
Brazil,1804,2.81M
Barbados,1804,81.7k
Brunei,1804,2260
Bhutan,1804,392k
Botswana,1804,119k
Central African Republic,1804,479k
Canada,1804,551k
Switzerland,1804,1.79M
Chile,1804,771k
China,1804,336M
Cote d'Ivoire,1804,1.09M
Cameroon,1804,1.86M
"Congo, Dem. Rep.",1804,5.16M
"Congo, Rep.",1804,314k
Colombia,1804,1.21M
Comoros,1804,56.3k
Cape Verde,1804,55.7k
Costa Rica,1804,54.9k
Cuba,1804,366k
Cyprus,1804,184k
Czech Republic,1804,5.52M
Germany,1804,19.2M
Djibouti,1804,22.8k
Dominica,1804,19.9k
Denmark,1804,1.03M
Dominican Republic,1804,135k
Algeria,1804,2.54M
Ecuador,1804,500k
Egypt,1804,3.63M
Eritrea,1804,205k
Spain,1804,11.6M
Estonia,1804,334k
Ethiopia,1804,12M
Finland,1804,863k
Fiji,1804,131k
France,1804,29.4M
"Micronesia, Fed. Sts.",1804,16.4k
Gabon,1804,158k
UK,1804,11.2M
Georgia,1804,1.07M
Ghana,1804,2.02M
Guinea,1804,984k
Gambia,1804,103k
Guinea-Bissau,1804,218k
Equatorial Guinea,1804,80.4k
Greece,1804,2.26M
Grenada,1804,29.4k
Guatemala,1804,488k
Guyana,1804,166k
"Hong Kong, China",1804,20k
Honduras,1804,131k
Holy See,1804,905
Croatia,1804,1.23M
Haiti,1804,538k
Hungary,1804,3.41M
Indonesia,1804,16.3M
India,1804,202M
Ireland,1804,5.58M
Iran,1804,6.11M
Iraq,1804,1.02M
Iceland,1804,61.4k
Israel,1804,210k
Italy,1804,19.2M
Jamaica,1804,318k
Jordan,1804,203k
Japan,1804,28.6M
Kazakhstan,1804,2.04M
Kenya,1804,2.63M
Kyrgyz Republic,1804,530k
Cambodia,1804,2.09M
Kiribati,1804,17.9k
St. Kitts and Nevis,1804,17.2k
South Korea,1804,9.39M
Kuwait,1804,81.3k
Lao,1804,470k
Lebanon,1804,306k
Liberia,1804,314k
Libya,1804,231k
St. Lucia,1804,24k
Liechtenstein,1804,5800
Sri Lanka,1804,1.63M
Lesotho,1804,276k
Lithuania,1804,779k
Luxembourg,1804,127k
Latvia,1804,591k
Morocco,1804,2.54M
Monaco,1804,7790
Moldova,1804,713k
Madagascar,1804,1.53M
Maldives,1804,42.4k
Mexico,1804,5.37M
Marshall Islands,1804,5830
North Macedonia,1804,392k
Mali,1804,1.4M
Malta,1804,134k
Myanmar,1804,5.39M
Montenegro,1804,127k
Mongolia,1804,604k
Mozambique,1804,2.02M
Mauritania,1804,383k
Mauritius,1804,66k
Malawi,1804,803k
Malaysia,1804,287k
Namibia,1804,217k
Niger,1804,853k
Nigeria,1804,12.1M
Nicaragua,1804,186k
Netherlands,1804,2.02M
Norway,1804,894k
Nepal,1804,3.98M
Nauru,1804,1830
New Zealand,1804,174k
Oman,1804,304k
Pakistan,1804,13.2M
Panama,1804,77.8k
Peru,1804,1.28M
Philippines,1804,2.26M
Palau,1804,3880
Papua New Guinea,1804,755k
Poland,1804,9.27M
North Korea,1804,4.34M
Portugal,1804,2.85M
Paraguay,1804,259k
Palestine,1804,166k
Qatar,1804,14.1k
Romania,1804,5.67M
Russia,1804,31.3M
Rwanda,1804,928k
Saudi Arabia,1804,2.02M
Sudan,1804,4.02M
Senegal,1804,1.01M
Singapore,1804,30k
Solomon Islands,1804,57k
Sierra Leone,1804,794k
El Salvador,1804,211k
San Marino,1804,5490
Somalia,1804,991k
Serbia,1804,2.15M
South Sudan,1804,1.03M
Sao Tome and Principe,1804,22.7k
Suriname,1804,80.7k
Slovak Republic,1804,2.14M
Slovenia,1804,470k
Sweden,1804,2.46M
Eswatini,1804,84.2k
Seychelles,1804,12.5k
Syria,1804,1.27M
Chad,1804,1.46M
Togo,1804,446k
Thailand,1804,3.28M
Tajikistan,1804,467k
Turkmenistan,1804,367k
Timor-Leste,1804,137k
Tonga,1804,18.6k
Trinidad and Tobago,1804,24.9k
Tunisia,1804,814k
Turkey,1804,9.82M
Tuvalu,1804,2500
Taiwan,1804,2M
Tanzania,1804,3M
Uganda,1804,2.41M
Ukraine,1804,11.2M
Uruguay,1804,55k
USA,1804,6.47M
Uzbekistan,1804,1.92M
St. Vincent and the Grenadines,1804,25.8k
Venezuela,1804,916k
Vietnam,1804,4.41M
Vanuatu,1804,27.8k
Samoa,1804,47.3k
Yemen,1804,2.59M
South Africa,1804,1.47M
Zambia,1804,794k
Zimbabwe,1804,1.09M
Afghanistan,1805,3.28M
Angola,1805,1.57M
Albania,1805,409k
Andorra,1805,2650
UAE,1805,40.2k
Argentina,1805,466k
Armenia,1805,413k
Antigua and Barbuda,1805,37k
Australia,1805,227k
Austria,1805,3.09M
Azerbaijan,1805,880k
Burundi,1805,899k
Belgium,1805,3.3M
Benin,1805,637k
Burkina Faso,1805,1.67M
Bangladesh,1805,19.4M
Bulgaria,1805,2.23M
Bahrain,1805,64.5k
Bahamas,1805,27.4k
Bosnia and Herzegovina,1805,852k
Belarus,1805,2.36M
Belize,1805,25.5k
Bolivia,1805,936k
Brazil,1805,2.9M
Barbados,1805,81.7k
Brunei,1805,2260
Bhutan,1805,392k
Botswana,1805,119k
Central African Republic,1805,479k
Canada,1805,565k
Switzerland,1805,1.81M
Chile,1805,771k
China,1805,338M
Cote d'Ivoire,1805,1.09M
Cameroon,1805,1.86M
"Congo, Dem. Rep.",1805,5.16M
"Congo, Rep.",1805,314k
Colombia,1805,1.21M
Comoros,1805,56.3k
Cape Verde,1805,55.7k
Costa Rica,1805,55.3k
Cuba,1805,394k
Cyprus,1805,184k
Czech Republic,1805,5.52M
Germany,1805,19.5M
Djibouti,1805,22.8k
Dominica,1805,19.9k
Denmark,1805,1.04M
Dominican Republic,1805,132k
Algeria,1805,2.55M
Ecuador,1805,500k
Egypt,1805,3.66M
Eritrea,1805,205k
Spain,1805,11.7M
Estonia,1805,334k
Ethiopia,1805,12M
Finland,1805,880k
Fiji,1805,132k
France,1805,29.5M
"Micronesia, Fed. Sts.",1805,16.4k
Gabon,1805,158k
UK,1805,11.3M
Georgia,1805,1.07M
Ghana,1805,2.02M
Guinea,1805,984k
Gambia,1805,103k
Guinea-Bissau,1805,218k
Equatorial Guinea,1805,80.4k
Greece,1805,2.27M
Grenada,1805,29.4k
Guatemala,1805,494k
Guyana,1805,166k
"Hong Kong, China",1805,20k
Honduras,1805,131k
Holy See,1805,905
Croatia,1805,1.23M
Haiti,1805,548k
Hungary,1805,3.45M
Indonesia,1805,16.3M
India,1805,203M
Ireland,1805,5.66M
Iran,1805,6.14M
Iraq,1805,1.02M
Iceland,1805,61.4k
Israel,1805,210k
Italy,1805,19.3M
Jamaica,1805,323k
Jordan,1805,204k
Japan,1805,28.7M
Kazakhstan,1805,2.04M
Kenya,1805,2.64M
Kyrgyz Republic,1805,530k
Cambodia,1805,2.09M
Kiribati,1805,17.9k
St. Kitts and Nevis,1805,17.2k
South Korea,1805,9.39M
Kuwait,1805,81.3k
Lao,1805,470k
Lebanon,1805,308k
Liberia,1805,314k
Libya,1805,231k
